# 固定題材集合の判定記録。対象文書 plugins/adr/skills/manage-adr/references/adr-scoping.md。実行日 2026-07-29。
# 対象文書と題材集合の commit は行ごとに異なりうるため、注記では主張せず 13列目・14列目で持つ（下記）。
# 担い手: 題材1件につき1つの汎用サブエージェント。試行ごとに新規コンテキストで起動し、前試行の判定・記録・他題材の判定を引き継がせていない。
# この2試行が測っているのは同一入力に対する判定の再現性であり、隣接題材の文脈効果は測っていない。題材は1件ずつ渡しており、判定側の入力に他の題材は現れない。
# 判定側が能動的に開いた入力は、adr-scoping-cases.sh prompt が組み立てたプロンプトファイルと対象文書のみ。破棄した試行は無い。
# ただし再実行3巡目の42行の多くは、実行基盤（Claude Code）がサブエージェント起動時に CLAUDE.md 等を自動注入したことを判定側が申告している。判定側の操作ではないため破棄していない（README §7.1）。申告の無い行についても、同じ実行基盤を使っている以上、自動注入が起きていなかったことの証拠にはならない。詳細は 2026-07-29-report.md の「入力の限定に関する限界」を見ること。
# 行き先列は、判定側が散文で返した分岐名を expectations.tsv と同じ4値の語彙（ADR化する / ADR化しない/実装・テスト資産・操作手順 / ADR化しない/共有規約文書 / ADR化しない/PR説明）へ写像した値である。判定側が3分岐のどれかを特定しなかった場合は ADR化しない/分岐未特定 と記す。
# 根拠_項目N 列・行き先列は、判定側の返却を人手で圧縮・写像した派生物である。再実行3巡目の42行のみ返却全文を 2026-07-29-raw-returns.md に保持しており、符号化の妥当性を原文へ突き合わせて確かめられる。他の6行（CASE-01・CASE-02・CASE-17）は返却全文を保持していないため、この突き合わせができない。
# 再実行1巡目: CASE-02・CASE-13・CASE-17〜20 の6題材。セルフレビューの指摘（題材文が条件3 の判定述語を言い換えて含んでいた／命名規約表の特徴列の文言を写していた）を受けて当該記述を落とし再実行した。
# 再実行2巡目: CASE-05・CASE-13・CASE-17〜20 の6題材。PR #616 のレビュー指摘（条件3 の述語の言い換えが残っていた）を受けて当該記述を落とし再実行した。
# 再実行3巡目: CASE-03〜16・CASE-18〜24 の21題材。PR #616 の再レビュー指摘（条件3 の否定形『1本に書き切れる』が16題材に、第2連言の言い換えが CASE-05 に、仮定法の枠組みが CASE-13/18/19/20 に残っていた）を受けて当該記述を落とし再実行した。本ファイルの当該42行はその判定である。
# 題材集合commit 列は、その行の判定が見た cases.md の commit である。c4dc2cf=初回の通し、61fee70=再実行1巡目、439f673=再実行2巡目、1a59a13=再実行3巡目。
# 題材集合commit の 1a59a13 は、再実行3巡目が見た cases.md を含むコミットである。本ファイル自身はその追随コミットで更新している（--amend で埋めるとハッシュが変わって値が古くなるため）。
# 置き忘れは report が検出する（「commit 列の未確定」節で題材・試行・列名を名指しし、exit 1 を返す）。
# 本ファイル先頭の # 行は TSV パーサが解釈しない注記である。機械処理する場合は読み飛ばす。
題材ID	試行番号	項目1	項目2	項目3	項目4	行き先	根拠_項目1	根拠_項目2	根拠_項目3	根拠_項目4	参照ファイル一覧	対象文書commit	題材集合commit
CASE-12	1	1	1	0	1	ADR化する	反転で直すのが規約1本＋実装2本の計3本で3本以上。非本数条件は不成立	影響が2実装モジュール。別選択の箇所も現に同2モジュールでOR成立	段1で(A)(B)とも不成立。段2で採用理由が離任により確かめられず条件1・2は非該当、条件3も不成立で0点確定	機械的検出が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-12	2	1	1	0	1	ADR化する	反転で修正が要る追跡下ファイルが計3本で3本以上。非本数条件は不成立	影響が実装モジュール2つ。別選択の箇所が現に2つあるOR条件も満たす	段1で(A)(B)とも非該当。段2で採用理由が確かめられず条件1・2は非該当扱い、条件3も非該当で0点確定	別ライブラリ使用の検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md,~/.claude/CLAUDE.md(自動注入),CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-13	1	0	1	1	1	ADR化する	直す必要のあるファイルが無く0本。非本数条件4つとも不成立	影響が2プラグインで2つ以上。明示を省きうる箇所も現に2つでOR成立	段1で値域(A)(B)いずれも満たさず段2へ。雛形とスキーマ定義の2ファイルへ分かれざるを得ず条件3成立で1点	明示の有無を機械的に検出する検査が無く欠けても止まらない	プロンプトファイル,adr-scoping.md,~/.claude/CLAUDE.md(自動注入),CLAUDE.md(自動注入),MEMORY.md(自動注入)	7a5d93d	1a59a13
CASE-13	2	0	1	1	1	ADR化する	直すファイルが0本。非本数条件は題材文が明示的に否定している	影響が2プラグインで2つ以上。別選択の箇所が現に2箇所ありOR条件も満たす	段2（同居判定）で確定。片方だけでは既存定義の素通り／新規作成時の漏れが生じるため条件3該当で1点	明示の有無を機械的に検出する検査が無く欠けても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-14	1	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのは雛形1本で3本未満。非本数条件も題材文が明示的に否定	影響がADRを起こす手順1つ。別選択の箇所も現に1つのみ。従う作業者も1人	段1で雛形は散文で述べるだけで(A)不成立・採用理由未記載で(B)も不成立。段2で条件1〜3いずれも非該当となり0点確定	違反を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-14	2	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのは雛形1本のみで3本未満。非本数条件も題材文が否定	影響が手順1つで2つ未満。別形式を選びうる箇所も現に1つのみでOR不成立	段1で保持先が雛形内の散文コメントのみで値域外。段2で条件1〜3いずれも不成立となり0点確定	違反を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,~/.claude/CLAUDE.md(自動注入),CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-15	1	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで本数条件に届かず、非本数条件も成立しない	影響がレビュー応答の手順1つ。別選択の箇所も現に1つだけでOR不成立	段1で確定。保持先が値域(B)で採用理由が同じ節に現に書かれており値域を満たすため0点	応答粒度を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
CASE-15	2	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで2本以下。非本数条件のORも不成立	影響が手順1つのみ。別選択の箇所も現に1つだけでOR不成立	段1（値域判定）で確定。採用理由が同じ節に現に書かれており値域(B)を満たすため0点	応答粒度を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
CASE-16	1	0	0	0	1	ADR化しない/PR説明	反転で直すのは規約1本とスクリプト1本の計2本で3本未満。非本数条件も立たない	影響が1スクリプトのみ。別選択の箇所も現に1つ・作業者1人でOR条件も立たない	段1で(A)不成立・採用理由未記載で(B)も不成立（PRレビューコメントは値域外）。段2で条件1〜3いずれも不該当で0点確定	外部ライブラリ使用を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-16	2	0	0	0	1	ADR化しない/PR説明	反転で直すのは計2本で3本未満。非本数条件のORも成立しない	影響がスクリプト1つ。別選択の箇所も現に1つだけでOR不成立	段1で(A)(B)とも不成立。段2で採用理由が確かめられず条件1・2は非該当、条件3も非該当で0点確定	外部ライブラリ使用の検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-17	1	0	1	0	1	ADR化しない/実装・テスト資産・操作手順	直すのは実装本体と判定用入力データの2本で3本未満。非本数条件も不成立	影響が2成果物種別。別の書き方を選びうる箇所も現に2つでORも成立	段1で確定。保持先が実装本体と判定用入力データで両方とも規範を体現し値域(A)。警告どまりでも(A)は満たす	検査は走るが警告どまりでコミットもCIも止めない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	439f673
CASE-17	2	0	1	0	1	ADR化しない/実装・テスト資産・操作手順	直すのは2本で0点。既存の相対パス記述は残せるため数えない	影響が2成果物種別。作業者が別の書き方を選びうる箇所も現に2つ	段1（値域(A)）で確定。採用理由が無く強制が警告どまりでも(A)を満たすため同居判定へ進まない	検査は走るが警告どまりで作業を阻止しない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	439f673
CASE-18	1	0	1	1	1	ADR化する	直す必要のあるファイルが無く0本。非本数条件のOR4項もすべて非該当	影響が2成果物種別で2つ以上。別の書き方を選びうる箇所も現に同2単位でOR成立	段1で値域(A)(B)いずれも満たさず段2へ。実装本体と判定用入力データの2資産へ分かれざるを得ず条件3で1点確定	違反を機械的に検出する検査が現に無く別の書き方でも止まらない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
CASE-18	2	0	1	1	1	ADR化しない/実装・テスト資産・操作手順	直すファイルが0本。非本数条件4つのいずれにも当たらない	影響が2成果物種別で2つ以上。別選択の箇所も現に2つでOR条件を満たす	段2で条件3該当（本体だけでは境界が揺れ、入力データだけでは検査が動かない）で1点。ただし合計3点でも命名規約表の書式的の例外が優先しADR外へ振り分けた	違反を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
CASE-19	1	0	1	1	1	ADR化する	反転で直すのは共有規約1本のみで2本以下。非本数条件も題材が明示的に否定	影響が2プラグインで2つ以上。別選択の箇所が現に2つある点でもOR条件を満たす	段2の同居判定で確定。同じ列挙項でも別ファイルゆえ別資産として分かれざるを得ず条件3成立で1点	列挙の有無を機械的に検出する検査が現に無く欠けても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-19	2	0	1	1	1	ADR化する	反転で直すのは共有規約1本のみで3本未満。非本数条件のORも成立しない	影響が2プラグインで2つ以上。列挙を省きうる箇所も現に同2箇所でOR成立	段1で(A)(B)とも値域外。段2でスキーマ定義と雛形の双方へ書かざるを得ず条件3該当で1点確定	列挙の有無を機械的に検出する検査が現に無く欠けても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-20	1	0	1	1	1	ADR化する	直す必要のあるファイルが無く0本。非本数条件のORも成立しない	影響が2スキル定義で2つ以上。別選択の箇所も現にその2箇所でOR条件にも該当	段1で値域(A)(B)を満たす保持先が無く段2へ。共有規約ファイルと手順書のいずれか一方では効かず条件3該当で1点確定	明記の有無を機械的に検出する検査が無く範囲を書かずに起動しても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-20	2	0	1	1	1	ADR化する	直すファイルが無く0本。非本数条件のORも成立しない	影響が2スキル定義で2つ以上。別選択の箇所も現に同2箇所でORでも1点	段1で保持先が無く値域外。段2で共有規約ファイルと手順書の2ファイルへ分かれざるを得ず条件3で1点確定	明記の有無を機械的に検出する検査が無く作業が止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-21	1	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのは共通実装1本のみで2本以下。非本数条件のORも不成立	影響が1スキル定義のみ。別選択の箇所も現に1つだけでOR不成立。将来の見込みは加算しない	段1（値域）で確定。共通実装が値域(A)に当たり、採用理由の記載も強制の稼働も問わず0点	共通実装を経由しない直接呼び出しの検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-21	2	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのは共通実装1本のみで3本未満。本数条件・非本数条件とも不成立	影響が1スキル定義のみ。別選択の箇所も現に1つだけ。従う作業者も1人	段1（値域判定）で確定。実装が規範を体現しており値域(A)に当たるため0点	直接呼びを機械的に検出する検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-22	1	0	0	0	1	ADR化しない/PR説明	反転で直すのは共有規約1本のみで3本未満。非本数条件もいずれも無い	影響がスキル定義1つ。別選択の箇所も現に1つのみでOR不成立	段1で(A)(B)とも値域外。段2で却下理由が採用理由と同一、犠牲無し、規範は1本に収まるため0点確定	本文を直接引数へ渡す書き方の検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-22	2	0	0	0	1	ADR化しない/共有規約文書	反転で直すのは共有規約1本のみで本数条件を満たさず、非本数条件にも当たらない	影響が1スキル定義のみで2つ以上に届かず、別選択の箇所も現に1つだけでOR不成立	段1で(A)(B)とも値域外。段2で条件1〜3いずれも不該当となり0点確定	本文をそのまま引数へ渡す書き方の検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
CASE-23	1	0	0	1	1	ADR化しない/PR説明	反転で直すのは実装本体1本のみで2本以下。非本数条件のORも成立しない	影響が1スクリプトのみ。別選択の箇所も現に1つだけでOR条件も成立しない	段1で強制を担っていない実装内の散文コメントとして(A)(B)いずれの値域にも当たらず、段2で却下理由が採用理由と別に要るため条件1該当で1点確定	違反を機械的に検出する検査が現に無く標準出力へ出しても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入),MEMORY.md(自動注入)	7a5d93d	1a59a13
CASE-23	2	0	0	1	1	ADR化しない/PR説明	反転で直すのは実装本体1本で3本以上に届かず、非本数条件のORも成立しない	影響がスクリプト1つのみ。別選択の箇所も現に1つだけでOR条件も成立しない	段1で実装が強制を担っておらず(A)不成立・(B)にも当たらず値域外。段2で却下理由が採用理由と別に要るため条件1該当で1点確定	違反を機械的に検出する検査が現に無く標準出力へ出しても止まらない	プロンプトファイル,adr-scoping.md,CLAUDE.md(自動注入),~/.claude/CLAUDE.md(自動注入)	7a5d93d	1a59a13
CASE-24	1	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのは雛形1本のみで2本以下。非本数条件のいずれにも当たらない	影響がADRを起こす手順1つで1つ以下。別選択の箇所も現に1つのみ。作業者も1人	段1（値域判定）で確定。雛形が値域(A)の型定義・テンプレート・スキーマ定義に当たり0点	識別子形式を機械的に検出する検査が現に無く作業も止まらない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
CASE-24	2	0	0	0	1	ADR化しない/実装・テスト資産・操作手順	反転で直すのは雛形1本のみで3本未満。本数条件・非本数条件とも0点	影響が手順1つのみで2つ未満。別選択の箇所も現に1つだけでOR条件も満たさない	段1（値域判定）で確定。書式指定つき front-matter を備えた雛形が値域(A)に当たり0点	識別子形式を機械的に検出する検査が現に無く作業も阻止されない	プロンプトファイル,adr-scoping.md	7a5d93d	1a59a13
