# ADR-202607191825-01 決定1 の4項目を既存 ADR へ遡及適用した判定結果（#589 / 観測時点 2026-07-26 / HEAD 682e144）
# 判定ルーブリックと方法は docs/development/adr-scope-observation.md を参照。
# 1回目と2回目は同一ルーブリックによる独立2回試行（担い手は同一、バッチ構成のみ変更）。
# 型・主題タグは1回目の判定に基づく。二値=3点以上(該当)/2点以下(非該当)。
# ID 列は新識別子のみで構成する。旧規約下で重複していた5組は #567 の移行で分離され、#593 で本ファイルの ID 列も新識別子へ揃えた（どの決定かは主題タグ列を参照）。
# 本ファイル先頭の # 行は TSV パーサが解釈しない注記である。機械処理する場合は読み飛ばす。
ID	主型	副型	主題タグ	1回目_項目1	1回目_項目2	1回目_項目3	1回目_項目4	1回目_合計	1回目_レイヤ4同型	2回目_項目1	2回目_項目2	2回目_項目3	2回目_項目4	2回目_合計	2回目_レイヤ4同型	二値一致
ADR-202606261847-01	配置命名	方針宣言	growthプラグイン分離	1	1	1	0	3	N	1	1	0	0	2	Y	反転(該当→非該当)
ADR-202606270040-01	方針宣言	配置命名	コンテキスト予算	1	1	0	1	3	N	1	1	0	1	3	N	一致(該当)
ADR-202606272147-01	運用手続き	-	コンテキスト予算	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-202606280940-01	方針宣言	運用手続き	エージェント粒度	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-202606282107-01	運用手続き	構造モデル	career裁定モデル	1	1	0	1	3	N	1	1	1	1	4	N	一致(該当)
ADR-202606291631-01	運用手続き	構造モデル	distill入力契約	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-202606291949-01	運用手続き	配置命名	プラン所在解決	1	1	0	0	2	Y	1	1	0	1	3	N	反転(非該当→該当)
ADR-202607010734-01	構造モデル	方針宣言	学習シグナル価値軸	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-202607050028-01	方針宣言	構造モデル	サイバネティック前提	0	1	1	1	3	N	0	1	1	1	3	N	一致(該当)
ADR-202607051220-01	用語定義	構造モデル	growth語彙統一	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-202607111014-01	構造モデル	運用手続き	store状態モデル	1	1	1	0	3	N	1	1	0	1	3	N	一致(該当)
ADR-202607111225-01	構造モデル	運用手続き	distillカーソル	1	1	1	0	3	N	1	1	0	0	2	Y	反転(該当→非該当)
ADR-202607112231-01	運用手続き	構造モデル	ADR状態モデル	1	1	0	0	2	Y	1	1	0	0	2	Y	一致(非該当)
ADR-202607112340-01	配置命名	構造モデル	capture見出し規則	1	1	1	0	3	N	1	1	0	0	2	Y	反転(該当→非該当)
ADR-202607121331-01	構造モデル	方針宣言	captures経年削除	1	1	1	0	3	N	1	1	0	1	3	N	一致(該当)
ADR-202607130831-01	運用手続き	構造モデル	captures状態モデル	1	1	1	0	3	N	1	1	0	0	2	Y	反転(該当→非該当)
ADR-202607160857-01	運用手続き	方針宣言	inquiry問い統治	1	1	1	1	4	N	1	1	1	1	4	N	一致(該当)
ADR-202607160857-02	構造モデル	運用手続き	inquiry完了判定	0	1	1	0	2	N	0	0	0	1	1	N	一致(非該当)
ADR-202607182303-01	用語定義	構造モデル	workflow用語軸	1	1	1	0	3	N	1	1	0	1	3	N	一致(該当)
ADR-202607191825-01	方針宣言	運用手続き	ADR化基準	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-202607200855-01	構造モデル	-	distill入力契約	1	1	1	0	3	N	1	1	0	1	3	N	一致(該当)
ADR-202607200856-01	運用手続き	-	distill入力契約	1	1	1	0	3	N	0	0	0	1	1	N	反転(該当→非該当)
ADR-202607200858-01	方針宣言	運用手続き	distill入力契約	1	1	1	0	3	N	1	1	0	1	3	N	一致(該当)
ADR-202607201441-01	構造モデル	ツール挙動	ADRパーク欄	1	1	0	0	2	Y	1	1	0	0	2	Y	一致(非該当)
ADR-202607230648-01	配置命名	方針宣言	ADRプラグイン抽出	1	1	1	0	3	N	1	1	0	1	3	N	一致(該当)
ADR-202607251922-01	方針宣言	配置命名	実行パラメータ統制	1	1	0	0	2	Y	1	1	0	1	3	N	反転(非該当→該当)
ADR-202607251922-02	配置命名	-	実行パラメータ統制	1	1	0	0	2	Y	1	1	0	0	2	Y	一致(非該当)
ADR-202607261459-01	構造モデル	ツール挙動	ADR状態モデル	1	1	0	0	2	Y	1	1	0	0	2	Y	一致(非該当)
ADR-202607261002-01	方針宣言	-	振る舞い不変条件	0	0	1	1	2	N	0	0	0	1	1	N	一致(非該当)
ADR-202607261501-01	運用手続き	構造モデル	ADR編集機構	1	1	1	1	4	N	1	1	0	1	3	N	一致(該当)
ADR-202607261002-02	配置命名	方針宣言	振る舞い不変条件	1	1	0	1	3	N	1	1	0	0	2	Y	反転(該当→非該当)
ADR-202607261503-01	運用手続き	-	ADR運用tooling委譲	1	1	0	0	2	Y	1	1	0	0	2	Y	一致(非該当)
ADR-202607261002-03	方針宣言	-	振る舞い不変条件	0	1	0	1	2	N	1	1	0	1	3	N	反転(非該当→該当)
ADR-202607261503-02	方針宣言	-	ADR索引廃止	0	0	1	0	1	N	0	0	0	1	1	N	一致(非該当)
ADR-202607261503-03	配置命名	-	ADR配置構造	1	1	1	0	3	N	1	1	1	1	4	N	一致(該当)
ADR-202607261504-01	配置命名	-	ADR ID採番形式	1	1	0	0	2	Y	1	1	1	0	3	N	反転(非該当→該当)
ADR-202607262019-01	配置命名	運用手続き	ADR ID採番形式	1	1	0	0	2	Y	1	1	0	0	2	Y	一致(非該当)
